id,name,game_slug,price,release_date,platform,description,developer,publisher,genres
0af5da05c76943f8a7da7cc65949ffd4,DARQ: Complete Edition,darq-complete-edition,1999,2021-10-28T15:00:00.000Z,Windows,"DARQ tells the story of Lloyd, a boy who finds himself in the middle of a lucid nightmare. Unable to wake up, Lloyd has to face his fears and decipher the meaning of the dream.",Unfold Games,Unfold Games,"HORROR,ADVENTURE,PUZZLE"
1c5397e7c768490c8923aea72aacac9b,Horror Story: Hallowseed,horror-story-hallowseed,1999,2021-10-28T17:00:00.000Z,Windows,"A story-driven psychological horror game. An obscure event causes your friends to disappear while you were camping in the woods. Alone and stranded in an unknown place, you need to seek the answers about what happened, face the horror and find your friends.",,,
feb54dfc423448a98cd15c5ef44c9b69,Dark Deception,dark-deception,1999,2021-10-30T00:00:00.000Z,Windows,Dark Deception is a spoopy horror maze adventure game. Fight your way through nightmarish mazes as you seek to change your fate. Run or die. The choice is yours.  Dark Deception consists of 5 chapters. Chapter 5 is still unreleased & will be added later.,Glowstick Entertainment,Glowstick Entertainment,"HORROR,INDIE,ARCADE"
1face1384fec44baafd037e84dcdb6ae,The Legend of Tianding,the-legend-of-tianding,1999,2021-11-02T01:00:00.000Z,Windows,"The Legend of Tianding is a sidescrolling action game about Liao Tianding, the legendary Taiwanese Folk Hero. Explore the dazzling streets of Colonial Japanese Taiwan in the early 20th century.",,,
3ce3dbff58e146cc94639ad76019bae0,Those Who Remain,those-who-remain,1999,2021-11-02T16:00:00.000Z,,"As the lights go out, the embers of darkness are stoked in the sleepy town of Dormont. Confront uncomfortable horrors, keep your sanity in check and survive the night in this story-driven first-person psychological-thriller.",Camel 101,Wired Productions,
ffd4758294444d308f6660a30ca5abb0,Deliver Us The Moon,deliver-us-the-moon,2499,2021-11-02T16:00:00.000Z,Windows,"Deliver Us The Moon is a Sci-Fi thriller set in an apocalyptic near future, where Earth's natural resources are depleted. A lone astronaut is sent to the moon on a critical mission to save humanity from extinction. ",Keoken Interactive ,Wired Productions,"ADVENTURE,INDIE,FIRST_PERSON"
a4733ca90bc14d548e3435bd5ff6c9fb,The Town of Light,the-town-of-light,1999,2021-11-02T16:00:00.000Z,Windows,The Town of Light,LKA,Wired Productions,"INDIE,HORROR,NARRATION"
1cfc3e68b14940719bbc0bce58fae8a4,Tunche,tunche,1999,2021-11-02T17:00:00.000Z,Windows,Tunche,,,"ACTION,ROGUE_LIKE,CO_OP"
3b5eb79d550c4657b2fe6bad90d055d5,Franchise Hockey Manager 8,franchise-hockey-manager-8,3999,2021-11-03T15:00:00.000Z,"Windows,Mac","Franchise Hockey Manager hits the ice for the 2021-22 season! The deepest, most authentic hockey strategy gaming experience you can find.  Licensed by the NHL! Take your favorite franchise all the way to the Stanley Cup®!",Out of the Park Developments,Out of the Park Developments,"STRATEGY,SIMULATION,SPORTS"
c02a2852de1d4596b2bc30280b9cfe9e,ChromaGun,chromagun,1299,2021-11-03T16:00:00.000Z,Windows,"Welcome! You’re here to test our state-of-the-art military-grade color-technology: The ChromaGun! Use it to solve our meticulously designed chambers by painting the walls and droids. Remember how to mix colors from pre-school? Congratulations, you qualify!",,,"INDIE,FIRST_PERSON,PUZZLE"
a340133282e740289cc85703132a4293,Time Loader,time-loader,1499,2021-11-03T16:00:00.000Z,Windows,"Time Loader is a story-driven puzzle-platformer with tiny robots, alternate realities, nostalgic musiс!  At the helm of a small robot, you’ll travel back to the 90s to prevent a tragic accident.",,,
d9a84a15512f4c8ca30363c5d1a06833,Trüberbrook,truberbrook,2999,2021-11-03T17:00:00.000Z,Windows,Enjoy an adventurous vacation to a German 1960's parallel universe! Accompany the young American scientist Hans Tannhauser on a Sci-Fi-Mystery Adventure Game with handmade scenery.,,,"ADVENTURE,INDIE"
e60a95176c36428e948cd26c9c67377c,Starsand,starsand,1999,2021-11-04T11:00:00.000Z,Windows,"Starsand is a mystic survival game set among the dunes of an arcane desert. An open-world full of danger, vast environments and mysterious happenings awaits you! Explore, hunt, craft, build – and SURVIVE.",,,
2ec6541c3d2a49ed869c1edbcd196a2b,Demon Turf,demon-turf,2499,2021-11-04T11:00:00.000Z,"Windows,Mac","The 3D platformer with attitude! Join Beebz in her ambitious goal of taking over the Demon Turfs and becoming the Demon Queen herself! Jump, spin and punch your way across the turfs with unique mechanics like momentum-driven combat and self-placed checkpoints.",Fabraz,Playtonic Games,"INDIE,PLATFORMER,ADVENTURE"
408e1dacff9c4ddabecb93b1e6183db9,Aven Colony,aven-colony,2999,2021-11-04T15:00:00.000Z,Windows,"Build a new home for humanity in Aven Colony. Discover Aven Prime - an alien planet of deserts, tundras, and wetlands light years from earth. Build your colonies into massive, sprawling cities whilst dealing with the threats faced when settling on a new world.", Mothership Entertainment LLC,Team17,"CITY_BUILDER,SIMULATION,STRATEGY"
95f33ec48520436c9c73fef18d357958,RiMS Racing,rims-racing,4999,2021-11-04T15:00:00.000Z,Windows,The first motorcycling simulation that combines a realistic riding challenge with engineering and mechanics! Ride the world's most powerful bikes and optimise their performance by swapping out parts and analysing data in real time.,,,"RACING,SIMULATION,SPORTS"
abcd18dfe32b41cb86332f745c73569c,VALORANT,valorant,0,2021-11-04T16:30:00.000Z,,"VALORANT is a character-based 5v5 tactical shooter set on the global stage. Outwit, outplay, and outshine your competition with tactical abilities, precise gunplay, and adaptive teamwork.",,,
03db40cd9db54c5babac9ca6bdb2fe91,Teamfight Tactics,teamfight-tactics,0,2021-11-04T16:30:00.000Z,,"Technology has taken over in Neon Nights, TFT’s latest update featuring Arcane’s infamous undercity crime lord: Silco. With over 20 new champions and 80 new Hextech Augments to switch up your game, the future is yours to control. What will you devise?",,,
137d26940f194bd6a214cb694a0363f9,Legends of Runeterra,legends-of-runeterra,0,2021-11-04T16:30:00.000Z,,"Skill and creativity conquer all in Legends of Runeterra, a strategy card game featuring iconic champions and allies from the League of Legends universe. ",,,
e880a70ecac84bc185fea9d354a157cc,League of Legends,league-of-legends,0,2021-11-04T16:30:00.000Z,,"Become a legend. Find your champion, master their abilities, and outplay your opponents in an epic 5v5 battle to destroy the enemy base.    ",,,
dd9e02507b284532bf57b3b485a1596d,Where Cards Fall,where-cards-fall,1999,2021-11-04T17:00:00.000Z,"Windows,Mac",Where Cards Fall is a slice of life story where you build houses of cards to bring formative memories to life. Create pathways through dreamlike spatial puzzles to navigate the insecurities and emotions of high school and beyond.,The Game Band,Snowman,"PUZZLE,ADVENTURE,INDIE"
